Address,PSI Status,PSI Error,Performance Score,Total Size Savings (Bytes),Total Time Savings (ms),Total Requests,Total Page Size (Bytes),HTML Size (Bytes),HTML Count,Image Size (Bytes),Image Count,CSS Size (Bytes),CSS Count,JavaScript Size (Bytes),JavaScript Count,Font Size (Bytes),Font Count,Media Size (Bytes),Media Count,Other Size (Bytes),Other Count,Third Party Size (Bytes),Third Party Count,Core Web Vitals Assessment,CrUX First Contentful Paint Time (ms),CrUX First Contentful Paint Category,CrUX First Input Delay Time (ms),CrUX First Input Delay Category,CrUX Largest Contentful Paint Time (ms),CrUX Largest Contentful Paint Category,CrUX Cumulative Layout Shift,CrUX Cumulative Layout Shift Category,CrUX Interaction to Next Paint Category,CrUX Interaction to Next Paint (ms),CrUX Time to First Byte Category,CrUX Time to First Byte (ms),Eliminate Render-Blocking Resources Savings (ms),Defer Offscreen Images Savings (ms),Efficiently Encode Images Savings (ms),Properly Size Images Savings (ms),Minify CSS Savings (ms),Minify JavaScript Savings (ms),Reduce Unused CSS Savings (ms),Reduce Unused JavaScript Savings (ms),Serve Images in Next-Gen Formats Savings (ms),Enable Text Compression Savings (ms),Preconnect to Required Origins Savings (ms),Server Response Times (TTFB) (ms),Multiple Redirects Savings (ms),Preload Key Requests Savings (ms),Use Video Format for Animated Images Savings (ms),Total Image Optimization Savings (ms),Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)
https://www.andelskassen.dk/privat/bolig/forbrugerinformation/,Success,NA,62,630379,3913,29,3049360,19558,2,275758,5,45992,2,329545,9,2376392,8,0,0,2115,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,0,900,0,0,0,150,900,1200,0,0,64,0,0,0,2100,66
https://www.andelskassen.dk/erhverv/produkter/,Success,NA,55,18712381,92087,32,16057909,23169,2,13280695,8,45992,2,329546,9,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,0,0,45750,0,0,150,870,44550,0,0,62,0,0,0,90300,66
https://www.andelskassen.dk/erhverv/udland/,Success,NA,56,1907428,10257,34,4609340,21341,2,1833956,10,45992,2,329544,9,2376392,8,0,0,2115,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0,0,4800,0,0,300,900,3450,0,0,57,0,0,0,8250,66
https://www.andelskassen.dk/privat/pension/livrente/,Success,NA,59,773338,4529,28,3362464,22117,2,586304,4,45992,2,329545,9,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,0,0,1350,0,0,150,940,1350,0,0,58,0,0,0,2700,66
https://www.andelskassen.dk/privat/kort-og-mobilbetalinger/design-dit-eget-kort/,Success,NA,57,2536049,13062,29,3953217,19962,2,1177095,5,46294,2,330453,9,2377298,8,0,0,2115,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0,3750,2700,0,0,150,900,4800,0,0,62,0,0,0,11250,66
https://www.andelskassen.dk/om-banken/organisation-og-ledelse/direktion/,Success,NA,61,756456,4216,31,3135096,19590,2,361461,7,45992,2,329546,9,2376392,8,0,0,2115,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,0,1050,0,0,0,150,900,1350,0,0,58,0,0,0,2400,66
https://www.andelskassen.dk/privat/investering/aktiesparekonto/,Success,NA,41,1559614,11387,29,3425143,20047,2,651050,5,45992,2,329547,9,2376392,8,0,0,2115,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3978,0,2100,1500,0,0,150,900,2700,0,0,59,0,0,0,6300,66
https://www.andelskassen.dk/erhverv/kundeprogram/erhverv-lokal/,Success,NA,39,16261440,80405,31,11175899,20123,2,8401731,7,45992,2,329546,9,2376392,8,0,0,2115,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,0,0,38850,0,0,300,1050,300,0,0,54,0,0,39150,39150,66
https://www.andelskassen.dk/erhverv/kundeprogram/erhverv-plus/,Success,NA,45,15750874,77854,30,10800849,19962,2,8026842,6,45992,2,329546,9,2376392,8,0,0,2115,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0,0,36900,0,0,150,1050,150,0,0,54,0,0,38850,37050,66
https://www.andelskassen.dk/om-banken/vilkaar-priser-og-regler/hvidvask-og-terrorfinansiering/,Success,NA,30,4038219,20405,30,5453051,20287,2,2675698,6,46596,2,331057,9,2377298,8,0,0,2115,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0,900,9000,0,0,150,900,8700,0,0,62,0,0,0,18600,66
https://www.andelskassen.dk/om-banken/investor/aktien/,Success,NA,30,968387,5554,84,4108887,54387,5,269460,16,80821,13,1006596,29,2670406,14,0,0,27217,7,1201379,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,0,750,0,0,150,0,2550,1050,150,0,67,0,0,0,1800,21302
https://www.andelskassen.dk/om-banken/job-og-karriere/,Success,NA,56,4769353,24157,27,5982882,21419,2,3205001,3,46294,2,330755,9,2377298,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697,0,0,7650,0,0,150,900,14700,0,0,60,0,0,0,22350,66
